# field	phot_id	z_best_s	use_phot	use_zgrism	z_best	z_best_l95	z_best_l68	z_best_u68	z_best_u95
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
cosmos	1	3	0	0	3.0674	3.0090	3.0200	3.1160	3.1270
cosmos	2	3	0	0	3.2266	3.1070	3.1760	3.2840	3.3180
cosmos	3	3	1	0	0.8131	0.7760	0.7920	0.8370	0.8430
cosmos	4	3	1	0	3.0885	1.2980	2.4870	3.6900	4.0160
cosmos	5	3	1	0	0.5092	0.3910	0.4680	0.5560	0.5960
cosmos	6	3	1	0	0.8522	0.3820	0.5870	1.2780	1.9240
cosmos	7	3	0	0	1.6177	1.5620	1.5800	1.6550	1.6850
cosmos	8	3	1	0	1.5069	0.8240	1.1110	1.8660	2.1600
cosmos	9	3	1	0	1.4098	0.9880	1.2450	1.6110	5.8410
cosmos	10	3	0	0	1.9080	1.8080	1.8640	1.9560	1.9720
cosmos	11	3	1	0	1.1830	0.8410	1.2680	5.9520	5.9600
cosmos	12	3	1	0	1.7572	1.5430	1.6030	1.8840	1.9660
cosmos	13	3	1	0	1.8271	1.1660	1.5490	2.1010	2.3490
cosmos	14	3	1	0	1.7441	1.5840	1.6430	1.8280	1.8970
cosmos	15	3	1	0	0.0503	0.0110	0.0140	0.0710	0.3370
cosmos	16	3	1	0	0.4192	0.0150	0.0640	0.6350	2.0060
cosmos	17	3	1	0	1.4513	1.2730	1.3540	1.5450	1.6320
cosmos	18	3	1	0	1.4880	1.0690	1.3150	1.6300	1.7330
cosmos	19	3	0	0	-99.0000	-99.0000	-99.0000	-99.0000	-99.0000
cosmos	20	3	0	0	0.0100	0.0100	0.0110	0.0240	0.0250
cosmos	21	3	1	0	2.3632	2.2180	2.2750	2.4510	2.5320
cosmos	22	3	1	0	0.6735	0.5300	0.5970	0.7520	0.8320
cosmos	23	3	1	0	0.1396	0.0110	0.0190	0.3360	0.4650
cosmos	24	0	0	0	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000
cosmos	25	3	1	0	1.3683	1.3080	1.3330	1.4040	1.4260
cosmos	26	3	1	0	0.7004	0.3670	0.5300	0.8390	1.2620
cosmos	27	3	1	0	1.6341	1.5640	1.5910	1.6790	1.7250
cosmos	28	3	1	0	1.2370	1.1910	1.2110	1.2670	1.2830
cosmos	29	3	1	0	2.7591	2.6390	2.7050	2.8160	2.8460
cosmos	30	3	1	0	0.2202	0.2030	0.2060	0.2350	0.2380
cosmos	31	3	1	0	0.0901	0.0240	0.0460	0.1290	0.1490
cosmos	32	0	0	0	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000
cosmos	33	3	1	0	0.8566	0.3120	0.4970	0.6400	0.6570
cosmos	34	3	1	0	2.3951	2.1950	2.2570	2.5680	2.6240
cosmos	35	3	1	0	1.5248	1.2930	1.3800	1.7050	1.9200
cosmos	36	3	1	0	0.8734	0.6630	0.7570	0.9810	1.0880
cosmos	37	3	0	0	0.8160	0.7540	0.7770	0.8530	0.8720
cosmos	38	3	1	0	0.6369	0.6020	0.6100	0.6680	0.6840
cosmos	39	3	1	0	2.1611	1.8860	1.9880	2.3370	2.4320
